QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,MCC,NBD,LOC,#Pa,#MC,#AF
selenium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Package>com.thoughtworks.selenium,com.thoughtworks.selenium,medium-high,low,medium-high,low,,,,,,603,1491,,,,,,,,,,,,15,12,3,1491,34,3,0.267,0.081,0.652,603,,,,,,
com.thoughtworks.selenium.BrowserConfigurationOptions,BrowserConfigurationOptions,low-medium,low,low-medium,low,0,34,16,1,0,28,84,73,1,9,23,0,0,0.9,0.522,0.79,0,0,,,,84,,,,,,28,,,,,,
<Method>com.thoughtworks.selenium.BrowserConfigurationOptions.public BrowserConfigurationOptions( ): void,BrowserConfigurationOptions( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
<Method>com.thoughtworks.selenium.BrowserConfigurationOptions.protected canUse( String ): boolean,canUse( String ): boolean,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,0
<Method>com.thoughtworks.selenium.BrowserConfigurationOptions.public get( String ): String,get( String ): String,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,1
<Method>com.thoughtworks.selenium.BrowserConfigurationOptions.protected getBrowserExecutablePath( ): String,getBrowserExecutablePath( ): String,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,1,2
<Method>com.thoughtworks.selenium.BrowserConfigurationOptions.protected getBrowserMode( ): String,getBrowserMode( ): String,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,1,2
<Method>com.thoughtworks.selenium.BrowserConfigurationOptions.public getCommandLineFlags( ): String,getCommandLineFlags( ): String,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,1,1
<Method>com.thoughtworks.selenium.BrowserConfigurationOptions.protected getProfile( ): String,getProfile( ): String,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,1,2
<Method>com.thoughtworks.selenium.BrowserConfigurationOptions.protected getTimeoutInSeconds( ): int,getTimeoutInSeconds( ): int,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,4,0,2,3
<Method>com.thoughtworks.selenium.BrowserConfigurationOptions.public hasOptions( ): boolean,hasOptions( ): boolean,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,1,1
<Method>com.thoughtworks.selenium.BrowserConfigurationOptions.protected isMultiWindow( ): boolean,isMultiWindow( ): boolean,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,1,1
<Method>com.thoughtworks.selenium.BrowserConfigurationOptions.public isSet( String ): boolean,isSet( String ): boolean,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,1,1,2
<Method>com.thoughtworks.selenium.BrowserConfigurationOptions.protected isSingleWindow( ): boolean,isSingleWindow( ): boolean,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,1,1
"<Method>com.thoughtworks.selenium.BrowserConfigurationOptions.private put( String, String ): void","put( String, String ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,2,2,1
<Method>com.thoughtworks.selenium.BrowserConfigurationOptions.public serialize( ): String,serialize( ): String,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,10,0,7,2
"<Method>com.thoughtworks.selenium.BrowserConfigurationOptions.public set( String, String ): BrowserConfigurationOptions","set( String, String ): BrowserConfigurationOptions",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,2,1,1
<Method>com.thoughtworks.selenium.BrowserConfigurationOptions.public setBrowserExecutablePath( String ): BrowserConfigurationOptions,setBrowserExecutablePath( String ): BrowserConfigurationOptions,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,1,1
<Method>com.thoughtworks.selenium.BrowserConfigurationOptions.public setBrowserMode( String ): BrowserConfigurationOptions,setBrowserMode( String ): BrowserConfigurationOptions,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,1,1
<Method>com.thoughtworks.selenium.BrowserConfigurationOptions.public setCommandLineFlags( String ): BrowserConfigurationOptions,setCommandLineFlags( String ): BrowserConfigurationOptions,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,1,1
<Method>com.thoughtworks.selenium.BrowserConfigurationOptions.public setMultiWindow( ): BrowserConfigurationOptions,setMultiWindow( ): BrowserConfigurationOptions,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,0,2,5
<Method>com.thoughtworks.selenium.BrowserConfigurationOptions.public setProfile( String ): BrowserConfigurationOptions,setProfile( String ): BrowserConfigurationOptions,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,1,1
<Method>com.thoughtworks.selenium.BrowserConfigurationOptions.public setSingleWindow( ): BrowserConfigurationOptions,setSingleWindow( ): BrowserConfigurationOptions,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,0,2,5
<Method>com.thoughtworks.selenium.BrowserConfigurationOptions.public setTimeoutInSeconds( int ): BrowserConfigurationOptions,setTimeoutInSeconds( int ): BrowserConfigurationOptions,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,2,1
<Method>com.thoughtworks.selenium.BrowserConfigurationOptions.public toString( ): String,toString( ): String,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,1,0
<Field>com.thoughtworks.selenium.BrowserConfigurationOptions->options,options : Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>com.thoughtworks.selenium.BrowserConfigurationOptions->BROWSER_EXECUTABLE_PATH,static final BROWSER_EXECUTABLE_PATH : String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>com.thoughtworks.selenium.BrowserConfigurationOptions->BROWSER_MODE,static final BROWSER_MODE : String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>com.thoughtworks.selenium.BrowserConfigurationOptions->COMMAND_LINE_FLAGS,static final COMMAND_LINE_FLAGS : String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>com.thoughtworks.selenium.BrowserConfigurationOptions->DEFAULT_TIMEOUT_IN_SECONDS,static final DEFAULT_TIMEOUT_IN_SECONDS : int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>com.thoughtworks.selenium.BrowserConfigurationOptions->MULTI_WINDOW,static final MULTI_WINDOW : String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>com.thoughtworks.selenium.BrowserConfigurationOptions->PROFILE_NAME,static final PROFILE_NAME : String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>com.thoughtworks.selenium.BrowserConfigurationOptions->PROXY_CONFIG,static final PROXY_CONFIG : String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>com.thoughtworks.selenium.BrowserConfigurationOptions->SINGLE_WINDOW,static final SINGLE_WINDOW : String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>com.thoughtworks.selenium.BrowserConfigurationOptions->TIMEOUT_IN_SECONDS,static final TIMEOUT_IN_SECONDS : String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.thoughtworks.selenium.CommandProcessor,CommandProcessor,low,low,low,low,0,13,0,1,2,13,15,13,0,0,13,0,0,0,0.41,0,0,0,,,,15,,,,,,13,,,,,,
"<Method>com.thoughtworks.selenium.CommandProcessor.public abstract doCommand( String, String ): String","doCommand( String, String ): String",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,0,0
"<Method>com.thoughtworks.selenium.CommandProcessor.public abstract getBoolean( String, String ): boolean","getBoolean( String, String ): boolean",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,0,0
"<Method>com.thoughtworks.selenium.CommandProcessor.public abstract getBooleanArray( String, String ): boolean","getBooleanArray( String, String ): boolean",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,0,0
"<Method>com.thoughtworks.selenium.CommandProcessor.public abstract getNumber( String, String ): Number","getNumber( String, String ): Number",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,0,0
"<Method>com.thoughtworks.selenium.CommandProcessor.public abstract getNumberArray( String, String ): Number","getNumberArray( String, String ): Number",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,0,0
<Method>com.thoughtworks.selenium.CommandProcessor.public abstract getRemoteControlServerLocation( ): String,getRemoteControlServerLocation( ): String,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
